Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours
Orléans Fruit Farm,https://www.fermedorleans.com/,-,offl@rogers.com,"1399 St-Joseph, Ottawa (Orléans), ON, K1C 7K9",Ottawa (Orléans),613-830-1303,No,No,Fruit Farm,"Mon-Fri:10:00 a.m. to 5:30 p.m., Sat-Sun:10:00 a.m. to 5:00 p.m."
Hudson's Farm Fresh Produce,https://www.hudsonsfarmfresh.ca/,https://www.instagram.com/hudsonsfarmfresh,panmure@xplornet.com,"2831 Upper Dwyer Hill Rd. Kinburn, ON,  K0A 2H0",Kinburn,613-839-2346,No,No,Farm,-
Avonmore Berry Farm Inc.,https://avonmoreberryfarm.com/,https://www.instagram.com/avonmoreberryfarm,pam@avonmoreberryfarm.com,"16365 Fourth Rd Avonmore, ON, K0C 1C0",Avonmore,613-346-2336,Yes,No,Berry Farm,Open Daily: Mid-June to October 31st 9am–5pm
Miller’s Bay Farm,https://millersbayfarm.com/,https://www.instagram.com/millersbayfarm/,millersfarmfresh@gmail.com,"65 Rideau Ferry Rd, Lombardy, ON K0G 1L0",Lombardy,613-283-0205,Yes,Yes,Farm,Mon-Sat: 9:30 am – 6:00 pm
Corn Acre Farm,http://www.cornacrefarms.com/,-,cornacres@ripnet.com,"1757 Summers Rd. Lyndhurst, ON K0E 1N0",Lyndhurst,613-928-2977,Yes,Yes,Farm,-
Saunders Farm,http://www.saundersfarm.com/,https://www.instagram.com/saundersfarmfun,mark@saundersfarm.com,"7893 Bleeks Rd. Ottawa, ON, K0A 3P0",Ottawa,613-838-5440,Yes,Yes,Farm,-
Marlin Orchards & Garden Centre,https://marlinorchards.com/,http://instagram.com/marlinorchards,diane@marlinorchards.com,"6864 Orchard Road, Cornwall, ON, K6H 5R5",Cornwall,613-931-1213,Yes,Yes,Farm,Mon-Sun: 9 am – 5 pm
Mountain Orchards,http://www.mountainorchards.ca/,https://www.instagram.com/mountainorchards/,shelley.lyall@mountainorcards.ca,"10175 Clark Road, Mountain ON K0E 1S0",Mountain,613-989-5601,Yes,No,Farm,-
Tincap Berry Farm,https://www.tincapberryfarm.ca/,https://www.instagram.com/tincapberryfarm,hello@tincapberryfarm.ca,"4035 County Rd 29 Brockville, ON, K6V 5T4",Brockville,613-345-3096,Yes,No,Farm,Monday to Saturday 8am to 6pm
Three Roads Farms Ltd.,https://threeroadsfarms.com/,-,glen@threeroadsfarms.com,"2415 County Rd 21 Spencerville, ON K0E 1X0",Spencerville,705-295-6850,Yes,No,Farm,"9am – 6pm, 7 days per week."
Andrews Farm Market and Winery,https://www.andrewsscenicacres.com/,https://www.instagram.com/andrewsscenic/?hl=en,farm@AndrewsScenicAcres.com,"9365 10 Side Road, Milton, ON  L9T 2X9",Milton,905-878-5807,Yes,No,Farm,10-4 Weekdays & 10-5 Weekends!
Hillsview Farms,https://www.hillsviewfarm.ca/,https://www.instagram.com/explore/tags/wordcamp/,hillsview.justin@gmail.com,"37089 Belfast Rd. Lucknow, ON N0G 2H0",Lucknow,519-529-3653,Yes,No,Farm,-
Lakeshore Farms,http://www.lakeshorefarms.ca/,-,wendy.channell@sympatico.ca,"467 Main St., RR#1 Wellington, ON, K0K 3L0",Wellington,613-399-1733,Yes,No,Farm,daily 8am - 6 pm. 7 days a week
Lennox Farms (1988),https://lennoxfarm.ca/,https://www.instagram.com/farmer_french/,lennoxfarms@hotmail.com,"518024, Dufferin County Rd 124, Melancthon, ON L9V 1V9",Melancthon,519-925-6444,Yes,Yes,Farm,-
Rutherford's Farm and Roadside Market,https://rutherfordsfarm.com/,-,rutherfordsfarm@gmail.com,"205 King St, East Colborne, ON, K0K1S0",East Colborne,905-355-3024,Yes,No,Farm,7 days a week.  9AM-5PM
Elberta Farms,https://www.elbertafarms.ca/,-,info@elbertafarms.ca,"353 Governors Rd E Paris, ON N3L 3E1",Paris,519-752-2047,Yes,No,Farm,"Tues-Sat:9:00 AM – 5:00 PM, Sun: 9:00 AM – 4:00 PM"
Serenity Lavender Farm,https://serenitylavender.com/,https://www.instagram.com/explore/locations/17629368/,suzanne@serenitylavender.com,"130 County Road 50 East Colchester, ON, N0R 1G0",East Colchester,519-738-6111,Yes,Yes,Farm,Mon-Sun: 11 am -5 pm
Debackere Farms Inc.,https://www.debackerefarms.ca/,-,debackerefarms@gmail.com,"5013 Yarmouth Centre Rd Union, ON, N0L 2L0",Union,519-476-4623,No,No,Farm,-
Robintide Farms Limited,https://robintidefarms.com/,https://www.instagram.com/robintidefarms,info@robintidefarms.com,"2720 King Vaughan Rd Maple, ON L6A 2A8",Maple,647-988-2720,Yes,Yes,Farm,
Burnham Family Farm Market Ltd.,https://burnhamfamilyfarmmarket.ca/,https://www.instagram.com/burnhamfamilyfarmmarket/,burnhamfarmmarket@gmail.com,"7760 County Rd 2 Cobourg, ON K9A 4J7",Cobourg,905-373-4578,Yes,No,Farm,Monday to Sunday: 9:00am-5:30pm
Chappell Farms,https://chappellfarms.ca/,https://www.instagram.com/chappellfarms,info@chappellfarms.ca,"617 Penetanguishene Rd. Barrie, ON L4M 4Y8",Barrie,705-721-1547,Yes,No,Farm,-
Barrie Hill Farms,https://barriehillfarms.com/,https://www.instagram.com/barriehillfarms/,info@barriehillfarms.com,"2935 Barrie Hill Rd, Springwater, ON L9X 1S8",Springwater,705-728-0571,Yes,Yes,Farm,
Barrett’s Christmas Tree Farm,https://www.barrettstreefarm.ca/,https://www.instagram.com/barrettstreefarm/,diana.barrett@hotmail.com,"3141 Williamson Road Cobourg, ON, K9A 4J7",Cobourg,905-342-2622,Yes,Yes,Farm,Monday - Sunday 9am-5pm
Fermanagh Farms,https://fermanaghfarms.com/,-,info@fermanaghfarms.com,"4023 3rd Line, Tottenham,  ON, L0G 1W0",Tottenham,647 773-2007,Yes,Yes,Farm,-
Eborall Farms,-,https://www.instagram.com/eborallfarms,teborall@hotmail.com,"3901 John St, Lincoln, ON L3J 1C9",Lincoln,905-988-0348,Not Sure,Not Sure,Farm,
Willis Family Fruit Farm,-,-,drum.quin@hotmail.com,"6063 Fifth Line Milton, ON L9T 2X8",Milton,905-876-2606,Not Sure,Not Sure,Fruit Farm,-
Jakeman’s Maple Farm,https://jakemansmaplesyrup.com/,https://www.instagram.com/jakemansmapleproducts/,info@themaplestore.com,"454414 Trillium Line, Beachville, ON N0J 1A0",Beachville,519-539-1366,Yes,Yes,Maple Farm,"Mon - Wed: 9 AM–6 PM, Thurs & Fri: 9 AM–4:30 PM, Sat & Sun: 10 AM–4 PM"
Moore Farms,https://www.mooreberries.ca/,https://instragrams.com/moorefarmsayr,mooreberries@gmail.com,"497 Pinehurst Rd., Ayr, ON N0B1E0",Ayr,226-208-7022,Yes,Yes,"Farm, Bakery",Monday to Saturday : 9am-6pm Sunday  : 10am - 5pm
Archibald Orchards & Estate Winery,https://archibaldswinery.com/,-,info@archibaldswinery.com,"6275 Liberty St. N. Bowmanville, On L1C 6L1",Bowmanville,905-263-2396,Yes,Yes,"Orchard, Winery","Friday, Saturday, Sunday  10 am – 5 pm"
Jingle Bills Christmas Tree Farm,https://www.jinglebills.ca/,https://www.instagram.com/jinglebillstreefarm,info@jinglebills.ca,"7373 Concession 1 Puslinch, ON N0B 2J0",Puslinch,519-546-4659,Yes,No,Christmas Tree Farm,Thurs-Sun: 10 AM–4 PM
Thompson Potato Farm,https://www.thompsonpotatofarm.com/,-,info@thompsonpotatofarm.com,"19228 McCowan Rd Mount Albert, ON L0G 1M0",Mount Albert,905-473-3460,Yes,No,Potato Farm,Year Round Daily
La Primavera Farm,https://www.laprimaverafarms.com/,https://www.instagram.com/la_primavera_farms,hello.laprimavera@gmail.com,"221 Middletown Road Dundas, ON  L9H 5E1",Dundas,905-536-9850,No,No,Flower Farm,-
The Farm-acy,https://thefarm-acy.com/,https://www.instagram.com/the_farmacy,contact@thefarm-acy.com,"148 Concession 6 East, Hamilton, ON L0R 1V0",Hamilton,905-689-5466,No,No,Farm,
Graham Creek Farm,https://grahamcreekfarm.com/,https://www.instagram.com/grahamcreekfarm/,hello@grahamcreekfarm.com,"3582 Morgans Rd Newcastle, ON L1B 1L9",Newcastle,416-524-4242,Yes,No,Meat Farm,MONDAY - SUNDAY 08.00 AM - 6.00 PM
Organics Family Farm,https://www.organicsfarm.ca/,http://instagram.com/organicsfamilyfarm?ref=badge,info@organicsfarm.ca,"7550 19th Ave, Markham, ON L6B 1A8",Markham,905-640-5206,Yes,No,Organics Farm,Weekdays 9am - 6pm Weekends 9am - 5pm
Reesor Farm Market,https://reesors.ca/,http://instagram.com/growingandmakinggoodfood,reesors.info@gmail.com,"10825 Ninth Line Markham, ON L6B 1A8",Markham,905-640-4568,Yes,No,Farm Market,Mon-Sat: 9am - 6:30pm (June - October)
King Cole Ducks,https://kingcoleducks.com/,https://www.instagram.com/kingcoleducks/,cconzelmann@kingcoleducks.com,"15351 Warden Avenue Stouffville, ON L4A 2V5",Stouffville,800-363-3825,Yes,No,Duck,MON – FRI 9:00am – 5:00pm SAT & SUN 9:00am – 4:00pm
Shouldice Berry Farm & Market,https://www.shouldicefarm.com/,https://www.instagram.com/shouldicefarms/,shouldiceberryfarm@bell.net,"3451 Richmond Rd Nepean, ON K2H 8G4",Nepean,613-838-2129,Yes,No,"Berry Farm, Pick YOur Own",Open 7 days a week 8am - 8pm mid June through July
Ferme l’Artisan Farm,https://www.fermelartisan.ca/,https://www.instagram.com/fermelartisanfarm,fermelartisan@gmail.com,"3932 Chemin concession 14 Fournier, Ontario K0B 1G0",Fournier,613-323-2073,Yes,Yes,Farm,Fri-Sun: 10:00 a.m.- 6:00 p.m.
Hall’s Apple Market,https://hallsapplemarket.com/,https://www.instagram.com/hallsapplemarket,info@hallsapplemarket.com,"2930 Second Concession Road, ON,  K6V5T1",Brockville,613-342-6320,Yes,Yes,Apple,Mon - Sun | 8am - 5:30pm
Vanderview Farms,https://www.vanderviewfarms.ca/,https://instagram.com/vanderviewfarms,vanderviewfarms@gmail.com,"2200 County Road 45 Norwood, ON, K0L 2V0",Norwood,705-639-5777,Yes,No,Apple,-
Hewitt’s Farm Market,http://www.hewittsfarmmarket.com/,https://www.instagram.com/hewittsfarmmarket/,hewittsfarmmarket@hotmail.com,"3331 Town Line Road Warminster, ON, L0K 1E0",Warminster,705-325-3000,Yes,Yes,"Farm Market, Bakery","Monday-Saturday, 9:00 am - 6:00 pm Sunday, 10:00 am - 5:00 pm"
South Pond Farms,http://www.southpondfarms.ca/,https://www.instagram.com/southpondhome/,danielle@southpondfarms.ca,"1020 Gray Rd Pontypool, ON L0A 1K0",Pontypool,705-772-0609,Yes,No,"Event, Venue",-
Arrowwood Farm,https://arrowwoodfarm.ca/,https://www.instagram.com/arrowwoodfarm.events,info@arrowwoodfarm.ca,"6460 Riverside Drive Melbourne, ON, N0L 1T0",Melbourne,519-289-0389,Yes,Yes,"Farm, Events, Venue",-
Mountainoak Cheese,https://mountainoakcheese.ca/,https://www.instagram.com/mountainoakcheese,office@mountainoakcheese.ca,"3165 Huron Road, New Hamburg, ON N3A 3C3",New Hamburg,519-662-4967,Yes,No,Cheese,Monday - Saturday: 9am - 5pm
Backed by Bees,https://backedbybees.com/,https://www.instagram.com/backedbybees/,info@backedbybees.com,"6214 Appleby Line Burlington, ON L7M 0P7",Burlington,905-320-6214,Yes,Yes,"Honey, Farm","Wed, Thurs & Sat: 10:00 am - 6:00 pm, Fri: 10:00 am - 8:00 pm, Sun: 10:00 am - 5:00 pm"
Heeman's,https://www.heeman.ca/,https://www.instagram.com/heemans/,daymaker@heeman.ca,"20422 Nissouri Rd, London, ON N0M 2P0",London,519-461-1416,Yes,Yes,"Berry, Pick your own, Flowers, Farm","Mon-Fri:9am - 8pm, Sat& Sun: 9am - 5pm"
Thames River Melons Ltd.,https://www.thamesrivermelons.com/,http://instagram.com/thamesrivermelons,trmelons1@execulink.com,"765875 Township Rd 5 Innerkip, ON N0J 1M0",Innerkip,519-469-3636,Yes,Yes,Farm,-
Herrle’s Country Market,https://herrles.com/,https://www.instagram.com/herrles_market/,info@herrles.com,"1243 Erb's Rd, St Agatha, ON N0B 2L0",St Agatha,519-886-7576,Yes,Yes,Farm Market,"Monday to Friday 8 to 7, Saturday 8 to 5 & Sunday 9 to 5"
Cristan Farms,-,https://www.instagram.com/cristanfarms,cow22@live.ca,"494 Winston Churchill Blvd, Oakville, ON L6J 7X2",Oakville,905-844-6757,Yes,Yes,Farm,Mon-Sun:10 AM–5 PM
Fenwood Farm,http://www.fenwoodfarm.com/,https://www.instagram.com/fenwoodfarm,store@fenwoodfarm.com,"774 Sawmill Road Ancaster, Ontario, Canada L9G 3L1",Ancaster,905-765-1479,Yes,Yes,Farm,Mon – Wed : 10am – 5pm Thurs – Friday : 10am – 6pm Saturday : 9am – 5pm
Fall Harvest Farm,https://fallharvestfarm.ca/,https://www.instagram.com/fall_harvest_farm,info@fallharvestfarm.ca,"1011 Gerber Rd, St. Agatha, ON N0B 2L0",St Agatha,226-791-7601,Yes,Yes,Pumpkin,Closed until June 2024
Matz Fruit Barn,http://www.matzfruitbarn.com/,https://www.instagram.com/matzfruitbarn/,contact@matzfruitbarn.com,"525 Norfolk County Hwy 6, Port Dover, ON N0A 1N2",Port Dover,519-583-1688,Yes,Yes,Fruit Farm,Wednesday-Monday 10-6pm 
Martin’s Sweet Farm,https://www.martinssweetfarm.com/,-,Les@MartinsSweetFarm.com,"2423 20 Side Rd Campbellville, ON L0P 1B0",Campbellville,519-820-8649,No,No,Sweet Farm,-
Zekveld’s Garden Market,https://www.zekveldgardenmarket.ca/,https://www.instagram.com/zekveldsgardenmarket/,info@zekveldgardenmarket.ca,"4622 London Line Wyoming, ON N0N 1T0",Wyoming,519-845-3482,Yes,No,"Farm, Pick Up your own",-
"Mapleton Organic Dairy, Inc.",https://www.mapletonsorganic.ca/,https://www.instagram.com/mapletonsorganic/,info@mapletonsorganic.ca,"8548 Wellington Road 7 RR#1 Moorefield, ON N0G 2K0",Moorefield,519-638-1115,Yes,No,Farm,"Friday 1-5, Saturday 10-6, Sunday 10-5"
Geissberger Farmhouse Cider,https://farmhousecider.ca/,https://www.instagram.com/farmhouse.cider/,mail@farmhousecider.ca,"5301 Langmaid Rd Hampton, ON L0B 1J0",Hampton,905-728-8674,No,Yes,Cider,-
Steckle’s Produce & Flowers,https://www.steckles.ca/,-,info@steckles.ca ,"5857 Hwy 89, RR1 Harriston, ON,N0G 1Z0",Harriston,519-338-5381 ,Yes,No,Produce & Flowers,Mon - Sat 9:00 am - 7:00 pm
Five Haystacks Farm,https://www.fivehaystacks.ca/,https://instagram.com/fivehaystacksfarm,angela@stonegateproperties.net,"9261 Twiss Rd Milton, ON L0P",Milton,905-854-2022,No,No,Farm,-
Thiessen Orchards,https://thiessenorchards.com/,https://www.instagram.com/thiessenorchards/,office@thiessenorchards.com,"400 Talbot Road East Leamington, ON,  N8H 3V6",East Leamington,519-326-5282,Yes,No,"Orchard, Pick your own",-
Delhaven Orchards Ltd.,https://www.delhavenorchards.ca/,-,delhavenorchardsltd@gmail.com,"8182 Talbot Trail, Blenheim, ON N0P 1A0",Blenheim,519-676-4475,Yes,No,Farm,"MONDAY - SATURDAY,  8:00am-5:00pm"
Pardo’s Berrie Farm,http://www.pardosberriefarm.com/,-,rpardo@mnsi.net,"7951 Talbot Trail Blenheim, ON, N0P1A0",Blenheim,519-676-2008,Yes,No,"Berrie Farm, Pick your own",Monday to Saturday 9:00am-5:00pm  Sunday 9:00am-4:00pm
Sunshine Farms,https://picklesplease.ca/,https://www.instagram.com/sunshine_farms_/,info@picklesplease.ca,"30043 Jane Road Thamesville, ON N0P 2K0",Thamesville,519-692-4416,Yes,Yes,Farm,"Mon-Sat: 9AM – 6:00PM, Sun: 9AM – 4:00PM"
Munro Honey & Meadery,https://www.munrohoney.com/,https://www.instagram.com/munrohoney/,info@munrohoney.com,"3115 River Street,, Alvinston, ON, N0N 1A0",Alvinston,529-847-5333,Yes,No,"Honey, Meadery",Mon – Fri   9:00am – 5:00pm Saturdays 10:00am – 3:00pm
Great Lakes Farms,https://www.greatlakesfarms.ca/,http://instagram.com/greatlakesfarms,info@greatlakesfarms.ca,"5111 Union Rd, Port Stanley, ON, N5L 1J2",Port Stanley,519-782-3433,Yes,No,"Farm, You pick up",10 AM – 5 PM DAILY
Clovermead Apiaries,https://clovermead.com/,https://www.instagram.com/clovermead_/,info@clovermead.com,"11302 Imperial Road Alymer, ON, N5H 2R3",Alymer,519-773-5503,Yes,Yes,"Farm, Honey",Mon-Sat: 9:00 AM - 5:00 PM
Silver Creek Nursery Inc.,https://silvercreeknursery.ca/,https://www.instagram.com/silvercreeknursery,sales@silvercreeknursery.ca,"2343 Gerber Road, Wellesley ON  N0B 2T0",Wellesley,519-804-6060,Yes,Yes,Plant nursery ,June Friday & Saturday - 9am-4pm July & August Appointment only
Bre’s Fresh Market,https://www.bresfreshmarket.ca/,https://www.instagram.com/bresfreshmarket,info@bresfreshmarket.com,"224276 Ostrander Rd. Tillsonburg, ON N4G 4H1",Tillsonburg,519-544-2737,Yes,No,"Farm, Bakery",Monday-Friday: 9:00 - 6:00 Saturday & Sunday: 9:00 - 5:00
Lincoln Line Orchards,https://lincolnlineorchards.com/,https://www.instagram.com/lincolnlineorchards/,lincolnlineorchards@gmail.com,"9764 RR 20 Smithville, ON L0R 2A0",Smithville,905-643-2205,Yes,Yes,Fruit Farm,Tuesday-Friday: 8am-6pm Saturday: 8am-5pm
Brantwood Farm,https://brantwoodfarms.com/,https://www.instagram.com/brantwoodfarms/?hl=en,info@brantwoodfarms.com,"251 Powerline Rd Brantford, ON N3T 5L8",Brantford,519-759-4383,Yes,No,"Fruit & Veggies, Strawberry picking",-
Potters Road Berries,https://pottersroadberries.wixsite.com/pottersroadberries,,nverbruggen@nor-del.com,"145476 Potters Road, Tillsonburg ON, N4G 4G7",Tillsonburg,519-842-2723,Yes,No,"Berrie Farm, Pick your own",Weekdays 8:00 am – 6:00 pm Weekends 8:00 am - 4:00 pm
The Cider Keg,https://ciderkeg.com/,https://instagram.com/cider_keg?igshid+pnw75p5afn9s,info@ciderkeg.com,"1398 Vittoria Rd., RR #1, Vittoria, ON",Vittoria,519-426-0705,No,No,Cider,-
Richardson’s Farm & Market,http://www.richardsonsfarm.com/,http://www.instagram.com/richardsonsfarmandmarket/,info@richardsonsfarm.com,"131 River Rd, Dunnville, ON N1A 2W3",Dunnville,905-774-7507,Yes,Yes,"Farm, Pick Up your own",Monday-Friday 9am-6pm; Saturday 9am-4pm
Bry-Anne Farms,https://bry-annefarms.ca/,https://www.instagram.com/bryannefarms,bry-annefarms@bellnet.ca,"471 Foss Rd, Fenwick, ON L0S 1C0",Fenwick,905-892-8999,Yes,No,"Pick-Your-Own, Farm",-
DeVries Fruit Farm,https://www.devriesfruitfarm.com/,https://www.instagram.com/devriesfruitfarm/,info@devriesfruitfarm.com,"825 Canboro Rd, Fenwick, ON L0S 1C0",Fenwick,905-892-8724,Yes,Yes,"Fruit Farm, Bakery",Monday – Friday: 8 am – 6 pm Saturday: 8 am – 5 pm
Janssens Orchards,https://janssensorchards.com/,-,info@janssensorchards.com,"699 County Rd 4, Odessa, ON K0H 2H0",Odessa,613-650-7772,Yes,Yes,Orchard,-
Circling Hawk Farm,http://www.circlinghawkfarm.com/,https://www.instagram.com/circlinghawkfarm,apiary@circlinghawkfarm.com,"13433 Leslie Street Richmond Hill, Ontario L4E 1A2",Richmond Hill,289-809-4360,Yes,Yes,"Honey, Meadery","Wed & Thurs: 1 PM to 5 PM, Fri & Sat:10 AM to 5 PM, Sun: 11 AM to 4 PM"
Dixie Orchards,http://www.dixieorchards.com/,https://www.instagram.com/dixie_orchards/,paul@dixieorchards.com,"14309 Dixie Road, Inglewood, Ontario L7C 2M8",Inglewood,905-838-5888,Yes,No,"Orchard, Pick your own",Reopening August 2024
Spirit Tree Estate Cidery,https://spirittreecider.com/,https://www.instagram.com/spirittreecider,thomas@spirittreecider.com,"1137 Boston Mills Road, Caledon, ON L7C 0N1",Caledon,905-838-2530,Yes,Yes,"Cidery, Bakery, and Farm Shop","Thurs & Sun: 10 AM to 5 PM, Fri & Sat: 10 AM to 9 PM"
Dorisdale Farm,https://www.dorisdale.ca/,https://www.instagram.com/Dorisdale_Farm,cpdoris@nexicom.net,"2612 County Road 2 Keene, ON, K9J 6X8",Keene,705-295-2755,Yes,Yes,Farm,"9am to 7pm in Sweet Corn Season, 9am to 6pm in Pumpkin Season"
Thatcher Farms,https://thatcher-farms.com/,https://www.instagram.com/thatcher_farms/?hl=en,buylocal@thatcher-farms.com,"5727 5th Line, Guelph/Eramosa, ON N0B 2K0",Guelph/Eramosa,519-856-4073,Yes,No,Cattle farm,-
WheelBarrow Orchard,https://www.frasersbeveragecompany.com/,-,heather@harvestgoodies.com,"8277 10th Sideroad, RR #3, Milton, Ontario",Milton,905-878-7070,Yes,Yes,"Orchard, Pick your own",-
Chudleigh’s Apple Farm,https://www.chudleighs.com/,https://www.instagram.com/chudleighsdesserts/,customercare@chudleighs.farm,"9528 Regional Road 25 Halton Hills, ON, L9T 2X7",Halton Hills,905 878 2725,Yes,Yes,Farm,THE FARM IS OPEN EVERYDAY INCLUDING HOLIDAYS.
Coopers CSA Farm & Maze,https://www.coopersfarm.ca/,https://www.instagram.com/coopscsafarm,steve-lisacooper@coopersfarm.ca,"266 Ashworth Rd, Zephyr, ON L0E 1T0",Zephyr,905-830-4521,Yes,No,"Farm & Maze, You pick","Thursdays & Fridays 10:00am-6:00pm, Saturdays & Sundays 10:00am - 5:00pm"
Indian River Acres,-,https://www.instagram.com/indianriveracres,indianriveracres@gmail.com,"2275 Indian River Line, Indian River, ON K0L 2B0",Indian River,705-295-4272,No,No,Farm,-
Algoma Orchards Ltd.,https://www.algomaorchards.com/,https://www.instagram.com/algomaorchards1964,info@algomaorchards.com,"201 Regional Rd 42 Newcastle, ON, CA L1B 0T9",Newcastle,905-987-4961,Yes,No,Orchard,Mon-Sun:9AM-5PM
Wilmot Orchards,https://www.wilmotblueberries.com/,https://www.instagram.com/wilmotorchards,info@wilmotblueberries.com,"3337 Concession Rd 3, Newcastle, ON L1B 0N1",Newcastle,905-987-5279,Yes,Yes,PickYourOwn Blueberries & Dessert Cafe,"Wednesday – Friday: 9 am – 7:30 pm, Saturday & Sunday: 9 am – 4:30 pm"
19th Ave. Farmers’ Market,https://www.wethefresh.ca/19th-avenue-farmers-market,https://www.instagram.com/19thavenuefarmersmarket,farmersmarket@toptomatofoods.ca,"2931 19th Ave, Markham, ON L6C 1L7",Markham,905-887-8954 Ext 2,Yes,No,Farmers' market,"Mon-Sat:9-5, Sun:9-4"
Niemi Family Farm,https://niemifamilyfarm.ca/,https://www.instagram.com/niemi_family_farm/,niemifamilyfarm@gmail.com,18463 Ontario 48 East Gwillimbury ON L0G 1M0,East Gwillimbury,289-716-4586,Yes,No,"Farm, Farmer's market, Camp",-
Nature’s Bounty Farm,https://www.naturesbountyfarm.com/,https://www.instagram.com/natures_bounty_farm,info.naturesbountyfarm@gmail.com,"​​651 Scugog Line 2 Port Perry, ON, L9L 1B3",Port Perry,905-985-2096,Yes,No,"Farm, Pick Up your own",Closed for the Season
Fermanagh Farm,https://fermanaghfarms.com/,https://www.instagram.com/fermanaghfarms/,info@fermanaghfarms.com,"4023 3rd Line, Tottenham, ON",Tottenham,647-773-2007,Yes,No,Farm,Always open
Mistyglen Creamery,http://www.mistyglencreamery.com/,https://www.instagram.com/mistyglencreamery,info@mistyglencreamery.com,"47008 Yorke Line, Belmont, ON",Belmont,519-872-6455,Yes,Yes,Farm & Milk,Tuesday 10am-5pm Wednesday 10am-5pm Thursday 10am-5pm Friday 10am-6pm Saturday 9am-5pm
Applewood Farms,https://applewoodfarm.ca/,https://www.instagram.com/applewoodfarmstouffville/,info@applewoodfarm.ca,"12416 McCowan Road, Stouffville, Ontario,",Stouffville,905-640-5357,Yes,No,Farm,-
New Hope Apiary,https://newhopeapiary.square.site/,https://www.instagram.com/newhopeapiary,newhopeapiarist@gmail.com," 6079 First Line, Orton, Ontario",Orton,519-830-5530,Yes,Yes,Farm & Honey,-
Pringles Farm Market,https://pinglesfarmmarket.com/,https://instagram.com/pinglesfarm?igshid=1i6rxn9xwgqss,info@pinglesfarmmarket.com,"1805 Taunton Road East, Hampton, Ontario",Hampton,-,Yes,Yes,Farm Market,"EverydaySatur ay & Sunday, 9:30am – 6pm"
Elfsong Apiaries,http://www3.sympatico.ca/elfsong,-,thinkelfsong@gmail.com,"Box 816,, Tweed, Ontario,",Tweed,613-885-2501,Yes,No,Farm,-
Blueberry Knoll Berry Farm,https://www.blueberryknoll.com/,https://instagram.com/blueberryknollberryfarm,bbknoll@hotmail.com,"1091 Hutchinson Road, RR 1, Lowbanks, Ontario",Lowbanks,905-658-6295,Yes,Yes,Farm, Mon- Sat 8-4 
