Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours,Description,output
Cornwall Kinsmen Farmers' Market,https://cornwallkinsmenfarmersmarket.ca/,https://www.instagram.com/kinsmenfarmersmarket/,admin@cornwallkinsmenfarmersmarket.ca,"2 St. Lawrence Drive Cornwall, Ontario K6H 4Z1",Cornwall,613-360-3704,Yes,No,Farmer's Market,Open May 26-Oct. 28 10:00am-2:00pm Sundays,,
Covent Garden Market,https://coventmarket.com/,https://www.instagram.com/cgoutdoorfarmersmarket,info@coventmarket.com,"130 King Street, London, ON N6A 1C5",London,519-439-3921,Yes,No,Farmer's Market,Monday to Thursday: 8am - 6pm; Friday 8:00am-7:00pm; Saturday 8:00am-6:00pm; Sunday 11:00am-4:00pm,,
Creemore Farmers' and Craft Market,https://creemorefarmersmarket.ca/,https://www.instagram.com/newcreemoremarket,creemoremarket@gmail.com,"10 Caroline St East Creemore, ON L0M 1G0",Creemore,705-435-3316,Yes,No,Farmer's Market,Saturday 9:00 to 1:00,,
Crystal Beach Farmers Market,https://www.thebeachmarket.ca/,https://www.instagram.com/the.beach.market/,stacksbannerman@gmail.com,"The Grove, 0 Erie Road, Crystal Beach, ON L0S 1B0",Crystal Beach,416-729-0425,Yes,Yes,Farmer's Market,Wednesday - Saturday-10-5Sunday- 11-4,,
Cumberland Farmers' Market,http://www.cumberlandfarmersmarket.ca/,https://www.instagram.com/cumberlandfarmmarket,"info@cumberlandfarmersmarket.ca","1115 Dunning Rd.,Cumberland, ON K4C 1E6",Cumberland,613-806-7559,Yes,No,Farmer's Market,Saturdays from 9 a.m. to 1 p.m.,,
Deep River Farmers' Market,https://deepriverfarmersmarket.ca/,,drfarmersmarket@gmail.com,"100 Deep River Rd. Deep River, ON K0J 1P0",Deep River,613-552-6365,Yes,No,Farmer's Market,Saturday from 10 am to12:30 pm,,
Downtown Windsor Farmers' Market,http://dwfm.ca/,https://www.instagram.com/dwfmarket,info@dwfm.ca,"484 Pelissier Street,Windsor, ON N9A 4K9",Windsor,"519-982-4644",Yes,No,Farmer's Market,9am - 2pm Saturdays,,
Dufferin Grove Organic Farmers’ Market,http://dufferingrovemarket.ca/,https://www.instagram.com/dufferingrovemarket,info@dufferingrovemarket.ca,"875 Dufferin St, Toronto, ON M6H 3K8 Park",Toronto,416-458-4747,Yes,No,Farmer's Market,Thrusdays 3:00ppm - 7:00pm,,
Dundas Farmers Market,https://dundasfarmersmarket.ca/,https://www.instagram.com/dundasfarmersmkt,dundasmarket@gmail.com,"Municipal Parking Lot 7D at Hatt Street and Miller’s Lane, Dundas, ON",Dundas,289 260-9921,Yes,No,Farmer's Market,"Thursdays, 2:00pm-6:00pm June to October",,
Dunnville Farmers' Market,https://www.dunnvillefarmersmarket.ca/,https://www.instagram.com/dunnville_farmers_market/,buyfresh.dfm@gmail.com,"218 Main St, Dunnville, ON",Dunnville,905-975-9538,Yes,No,Farmer's Market,Opem Tuesdays 2:00pm-7:00pm and Saturdays 7:00am- 12:00noon,,
East Gwillimbury Farmers Market,https://www.eastgwillimbury.ca/en/living-in-eg/farmers_-market.aspx,https://www.instagram.com/egfarmersmarket,egevents@eastgwillimbury.ca,"19000 Leslie Street, East Gwillimbury, ON,",East Gwillombury,905-478-4282,Yes,No,Farmer's Market,"May 9 -  October 10, 2024 2:00pm - 7:00pm",,
East Lynn Park Farmers' Market,https://www.eastlynnparkfarmersmarket.ca/,-,catherine.clark@farmersmarketsontario.com,"1949 Danforth Avenue, Toronto",Toronto,613-475-4769,Yes,No,Farmer's Market,June to October 3:00pm - 7:00pm,,
"East York Farmers' Market",https://www.facebook.com/EastYorkFarmersMarket/,https://www.instagram.com/eyfarmersmarket/,rabbott@sympatico.ca,"850 Coxwell Avenue, Toronto, ON",Toronto,416-429-9684,Yes,No,Farmer's Market,Tuesdays 8:00am - 2:00pm,,
Eat Well Market,http://eatwellmarket.ca/,https://www.instagram.com/eat_well_market_hanover,eatwellmarkethanoverontario@yahoo.com,"Hanover Pavilion Park, Hanover, ON",Hanover,519-389-7185,Yes,No,Farmer's Market,Saturdaysn 8:00am - 2:00pm,,
Eganville Farmers' Market,https://www.eganvillefarmersmarket.com/,https://www.instagram.com/eganvillefarmersmarket,eganvillefarmersmarket1@gmail.com,"8 Foran Street, Eganville, ON",Eganville,613-638-2794,Yes,No,Farmer's Market,Friday 2:00 PM - 5:00 PM,,
Elmira Farmers' Market,https://www.elmirafarmersmarket.com/,https://www.instagram.com/elmirafarmersmarket/,info@elmirafarmersmarket.com,"Crossroads 384 Arthur St S, Elmira, ON",Elmira,226-339-9178,Yes,No,Farmer's Market,Saturdays 8:00 am till 1:30 pm,,
Elora Farmers' Market,https://www.elorafarmersmarket.ca/,https://www.instagram.com/elorafarmersmarket,elorafarmersmarket@gmail.com,"127 E. Mill Street, Elora, ON",Elora,226-821-5536,Yes,No,Farmer's Market,Every Saturday  9:00AM to 1:00 PM,,
Erin Farmers' Market,https://www.erinfarmersmarket.ca/,https://www.instagram.com/ErinFarmersMarket,erinfarmers.mkt@gmail.com,"Inside the Agri-Dome @ the Erin Fairgrounds, 184 Main St., Erin, On",Erin,647-229-0697,Yes,No,Farmer's Market,Thursdays 2:00pm - 4:00pm or 5:00pm - 7:00pm,,
Farmers' Market of Grimsby,http://www.grimsbyfarmersmarket.com/,https://www.instagram.com/grimsby_farmers_market,mseaborn@silmaril.on.ca,"Main Street East, Grimsby, ON L3M 1R3",Grimsby,905-945-7963,Yes,No,Farmer's Market,Thrusday 3:00pm - 7:00pm,,
Fenelon Falls Farmers' Market,https://fenelonfallsfarmersmarket.com,,kathymartin@56msn.com,"45 Bond St. Fenelon Falls, ON K0M1N0",Fenelon Falls,703-416-589,Yes,No,Farmer's Market,Friday 9am to 2pm ,,
Flesherton & District Farmers' Market,https://www.fleshertonfarmersmarket.ca/,https://www.instagram.com//fleshertonfarmersmarket/,barnettron5@gmail.com,"101 Highland Drive,Flesherton, ON N0C 1E0",Flesherton,519-924-0777,Yes,No,Farmer's Market,Saturdays 9-1 pm,,
Front Street Farmers' Market,https://www.quintewest.ca/en/open-for-business/freshonfront.asp?_mid_=92994,https://www.instagram.com/quinte_west_tourism,economicdevelopment@quintewest.ca,"67 Front Street, Trenton, ON K8V 4N3",Trenton,613-392-284,Yes,No,Farmer's Market,-,,
Frontenac Farmers' Market,https://frontenacfarmersmarket.com/,https://www.instagram.com/frontenacfarmersmarket_,tarrawilliamson1@gmail.com,"4500 Centennial Park Rd, Harrowsmith, ON K0H1V0",Harrowsmith,613-985-3531,Yes,No,Farmer's Market,-,,
Gananoque Farmers Market,-,-,ganfarmersmarket@gmail.com,"30 King Street East,Gananoque, ON K7G 1E9",Gananoque,"613 329-2998",Yes,No,Farmer's Market,"Monday 12:00 AM - 11:59 PM Tuesday 12:00 AM - 11:59 PM Sunday, 12:00 PM - 11:59 PM",,
Georgetown Farmers Market,http://www.farmersmarketgeorgetown.com/,https://www.instagram.com/georgetownfarmersmarket,farmersmarket@downtowngeorgetown.com,"Main St S. Georgetown, ON L7G3H7",Georgetown,905-873-4970,Yes,No,Farmer's Market,Saturday 8:00 AM - 12:30 PM,,
Georgina Farmer's Market,https://www.georginafarmersmarket.ca/,https://www.instagram.com/georginafarmersmarket,GeorginaFarmersMarket@gmail.com,"20849 Dalton Road,Sutton West, Ontario, ON L0E 1R0","Sutton West,","289-264-7626",Yes,No,Farmer's Market,Sunday9:00 AM - 2:00 PM,,
Goderich Farmers' Market,http://www.goderichbia.ca/virtu,https://www.instagram.com/goderichbia/,"bia@goderich.ca","1 Courthouse Square, Goderich, ON N7A 1M2",Goderich,519-440-0871,Yes,No,Farmer's Market,AM to 2pm Saturdays,,
Grand Bend Village Farmers' Market,"https://www.grandbendvillagefm.com/,%20https://bayfieldfarmersmarket.com/",https://www.instagram.com/grandbendvillagefm,grandbendvillagefm@gmail.co,"St John's by the Lake Anglican Church, 70671 Bluewater Hwy.Grand Bend, ON N0M 1T0",Grand Bend,519-237-3108,Yes,Yes,Farmer's Market,-,,
Guelph Farmers' Market,http://www.guelph.ca/farmersmarket,https://www.instagram.com/guelphfarmersmarket/,"farmersmarket@guelph.ca","2-4 Gordon St. @ Waterloo Ave.,Guelph, ON N1H 3A1",Guelph,519-822-1260,Yes,No,Farmer's Market,"Saturdays year-round, 8a.m. to 1 p.m.",,
Haliburton Farmers' Market,http://www.hcfma.ca/,https://www.instagram.com/haliburton_farmers_market,incrediblehcfma@gmail.com,"Head Lake Park Haliburton, ON K0M 1S0",Haliburton,"705-455-9388",Yes,No,Farmer's Market,"TUESDAYS 10 am – 2 pm , SATURDAYS 10 am – 2 pm , FRIDAYS 2 pm – 6 pm ",,
Haliburton Farmers' Market at Abby Gardens,http://www.hcfma.ca/,https://www.instagram.com/haliburton_farmers_market,incrediblehcfma@gmail.com,"1012 Garden Gate drive,Haliburton, ON K0M 1S0",Haliburton,"705-455-9388",Yes,No,Farmer's Market,"TUESDAYS 10 am – 2 pm , SATURDAYS 10 am – 2 pm , FRIDAYS 2 pm – 6 pm ",,
Hamilton Farmers' Market,https://hamiltonfarmersmarket.ca/,https://www.instagram.com/hamontmarket,bill.slowka@hamilton.ca,"35 York Blvd., Hamilton, ON L8R 3K1",Hamilton,"905-546-2096",Yes,No,Farmer's Market,Wednesday 9:00 AM - 5:00 PM Thursday 9:00 AM - 5:00 PM Friday 9:00 AM - 5:00 PM Saturday 8:00 AM - 5:00 PM,,
Havelock Farmers & Artisan Market,http://www.havelockmarhet.ca/,-,"elmleagoat@gmail.com","128 Morningside Drive, Havelock, ON K0L 1Z0",Havelock,"705-778-3370",Yes,No,Farmer's Market,Friday 1:00 PM - 7:00 PM,,
Hespeller Village Market Inc.,http://hespelervillagemarket.com/,https://www.instagram.com/hespelervillagemarket,"GORD.WHITNEY@AMLTECHNICALSERVICES.COM","11 Tanney ST E Cambridge, ON N3C 2B9",Cambridge,519-212-5457,Yes,No,Farmer's Market,Every Friday evening from 3:00pm to 7:00pm,,
Horton Farmers' Market,https://www.hortonfarmersmarket.ca/,https://www.instagram.com/hortonfarmersmarket,hortonfarmersmarket@stthomas.ca,"10 Manitoba Street St. Thomas, ON N5P 3A2",Thomas,"519-868-5551",Yes,No,Farmer's Market,Saturday Mornings from 8am-Noon,,
Humber Bay Shores Farmers Market,https://humberbayshores.org/,-,"HBSfarmersmarket@rogers.com","Humber Bay park West, Toronto, ON M8V3X7",Toronto,416-357-3899,Yes,No,Farmer's Market,9:00 AM to 2:00 PM,,
Innisfil Farmers Market,https://www.innisfilfarmersmarket.ca/,https://www.instagram.com/innisfilfarmersmarket,"innisfilfarmersmarket@outlook.com","7883 Yonge Street. North Lot of the Stroud Arena Innisfil, ON L9S1A8",Innisfil,"249-877-3526",Yes,No,Farmer's Market, 1pm to 6pm Weekly,,
Island Summer Market,-,-,"janmcquay23@gmail.com","M'Chigeeng Arena, M'Chigeeng First Nation, ON P0P 1G0",M'Chigeeng First Nation,705-377-4045,Yes,No,Farmer's Market,-,,
Johnson Farmers' Market,http://www.johnsonfarmersmarketdesbarats.ca/,-,"jtfarmersmarket@gmail.com","1 Cameron Avenue, Desbarats, ON, ON P0R 1E0",Desbarats,705-541-1886,Yes,Yes,Farmer's Market,"from 9:00 am - 2 pm (changing to fall hours of 10 am - 2 pm on Sept. 24, 2022)",,
Junction Farmers Market,http://junctionmarket.ca/,https://www.instagram.com/junctionmarket,"info@junctionmarket.ca","Baird Park - 275 Keele Street, Toronto, ON M6P 2K1",Toronto,647-828-5570,Yes,No,Farmer's Market,Saturdays 9am-1pm,,
Kapuskasing Farmers' Market,https://www.facebook.com/p/March%C3%A9-des-fermiers-%C3%A0-Kapuskasing-Kapuskasing-Farmers-Market-100063558941834/?paipv=0&eav=Afa64f0s_7uFNW8l9LzYjhYJ7ZiMSYFUCUmUmmjzrHW1oxRMQTU2mo2W3njI17-TxPk&_rdr,-,"syl20_53@icloud.com","4 Ash Street,Kapuskasing, ON P5N 2C8",Kapuskasing,705-335-3165,Yes,No,Farmer's Market,Saturday 8:00 AM - 12:00 PM,,
Kemptville Farmers Market,http://www.kemptvillefarmersmarket.ca/,https://www.instagram.com/kemptville_farmers_market,kfmmanager1@gmail.com,"200 Sanders St, Kemptville, Ontario K0G1J0 Kemptville, ON K0G1J0",Kemptville,"613-291-8908",Yes,Yes,Farmer's Market,Sunday Hours: Noon to 4pm,,
Kingston Public Market,http://kingstonpublicmarket.ca/,https://www.instagram.com/kingstonpublicmarket,adrienne@lovingspoonful.org,"216 Ontario St. Kingston, ON K7L2Z3",Kingston,"705-571-4523",Yes,No,Farmer's Market,"Tuesday, Thursday, and Saturday From 8:30 AM to 4 PM",,
Kinmount Farmers' Market,http://www.kinmountfarmersmarket.ca/,https://www.instagram.com/kinmountfarmersmarket/,"lindamehak@gmail.com","Austin Sawmill Park Kinmount, ON K0M 2A0",Kinmount,416-986-7216,Yes,Yes,Farmer's Market,Saturday 9am to 2pm,,
Kitchener Farmers' Market,http://www.kitchenermarket.ca/en/index.asp,,"Cameron.Dale@kitchener.ca","300 King St E. Kitchener, ON N2G 2L3",Kitchener,519-741-2287,Yes,No,Farmer's Market,7 a.m. - 2 p.m. on Saturdays,,
Lakefield Farmers' Market,http://www.lakefieldfarmersmarket.net/,https://www.instagram.com/lakefieldfarmersmarket,"info@lakefieldfarmersmarket.net","20 Concession Street, Lakefield, ON K0L 2H0",Lakefield,705-743-4926,Yes,No,Farmer's Market,Thursday 9 a.m. to 1 p.m.,,
Lakeview Farmers' and Artisan Market,https://www.creativehub1352.ca/lakeviewfarmersmarket,,info@creativehub1352.ca,"1352 Lakeshore Road East, Mississauga, ON L5E1E9",Mississauga,647-454-9168,Yes,No,Farmer's Market,Sunday 9:00am - 2:00pm,,
Lambton Shores Market -Grand Bend,https://www.lambtonshoresmarkets.com/,https://www.instagram.com/grandbendfarmersmarket/,lambtonshoresmarkes@gmail.com,"11004 Museum Road, Grand Bend, ON N0M 1B0",Grand Bend,519-494-1139,Yes,No,Farmer's Market,Wednesday 8:00am - 1:00pm,,
Lambton Shores Markets -Forest,https://www.lambtonshoresmarkets.com/,https://www.instagram.com/grandbendfarmersmarket/,lambtonshoresmarkes@gmail.com,"6 Main St. North Forest, ON N0N 1J0",North Forest,519-494-1139,Yes,No,Farmer's Market,Friday 9:00am - 1:00pm,,
"Lindsay Farmers' Market ( Victoria Ave., Victoria Park, Victoria Park Armoury",https://lindsayfarmersmarket.com/,https://www.instagram.com/Lindsayfarmersmarketontario,lindsayfarmersmarketontario@gmail.com,"Victoria Ave. Between Kent St. & Peel St. Lindsay, ON",Lindsay,705-872-5291,Yes,No,Farmer's Market,Saturday 7:00am - 1:00pm,,
Lindsay Farmers' Market (Wilson Field),https://lindsayfarmersmarket.com/,https://www.instagram.com/lindsayfarmersmarketsince1859,lindsayfarmersmarketontario@gmail.com,"Victoria Ave. Between Kent St. & Peel St. Lindsay, ON",Lindsay,705-872-5291,Yes,No,Farmer's Market,Thursday 10:00am - 3:00pm,,
Lion's Head Farmers' Market,https://www.lionsheadfarmersmarket.com/,https://www.instagram.com/lionsheadfarmersmarket,lionsheadfm@hotmail.com,"1 Forbes Street, Lions Head, ON",Lions Head,519-795-7365,Yes,No,Farmer's Market,Saturday 9:00am - 12:00pm,,
Lions Club of Land O'Lakes Farmers Market,https://e-clubhouse.org/sites/landolakeson/,https://www.instagram.com/lionsclubs,lionscluboflandolakes@gmail.com,"12328 Highway 41, Northbrook, ON K0H 2G0",Northbrook,647-963-4058,Yes,No,Farmer's Market,Saturday 10:00am - 1:00pm,,
Locke Street Farmers' Market,https://lockestreetfarmersmarket.com/,https://www.instagram.com/lockestfarmersmarket/,lockestfarmersmarket@gmail.com,"260 Locke Street South, Hamilton, ON L8P 4B9",Hamilton,905-297-9454,Yes,No,Farmer's Market,Saturdays 9:00am - 12:00pm,,
Matiowski Farmers' Market,https://www.facebook.com/matiowskifarmersmarket,https://www.instagram.com/matiowskifarmersmarket/,jnelson@kenora.ca,"Whitecap Pavilion, Kenora, ON P9N 3P8",Kenora,807-467-4637,Yes,No,Farmer's Market,Wednesday 8:30am - 2:00pm,,
McDonald's Corners Agricultural Hall Farmers' Market,https://www.mdcaghall.com/,-,mdcas.office@gmail.com,"194 Cameron's Road, McDonald's Corners, ON K0G 1M0",McDonald's Corners,613-278-1501,Yes,No,Farmer's Market,Sunday 10:00am - 2:00pm,,
Meaford Farmers' Market,https://linktr.ee/meafordfarmersmarket,https://www.instagram.com/Farmersmarketmeaford,MeafordFM@gmail.com,"1 Don Bumstead Way, Meaford, On, ON N4L1B8",Meaford,416-795-7866,Yes,No,Farmer's Market,Friday 3:00pm - 7:00pm,,
Memorial Centre Farmers' Market,https://www.memorialcentrefarmersmarket.ca/,https://www.instagram.com/memorialmarket,info@memorialcentremarket.ca,"303 York St., Kingston, ON K7K 1P5",Kingston,613-572-7059,Yes,No,Farmer's Market,Sunday 9:00am - 2:00pm,,
Metcalfe Farmers' Market,https://www.metcalfefm.com/,https://www.instagram.com/metcalfefarmersmarket/,metcalfefarmersmarket@yahoo.ca,"P.O. Box 179, Metcalfe, Ontario K0A 2P0",Metcalfe,613-425-1301,Yes,No,Farmer's Market,Saturday 9:00am - 1:00pm,,
